Structure_Name                             NVox          BP         R^2        Intc
wm-lh-paracentral                          2594      0.3793      0.9971    -18.7867
wm-rh-paracentral                          3436      0.2804      0.9986    -16.9000
wm-lh-parsopercularis                      3121      0.2666      0.9988    -11.7980
wm-rh-parsopercularis                      3017      0.2698      0.9993    -14.5542
wm-lh-parsorbitalis                         759      0.3018      0.9981    -12.4546
wm-rh-parsorbitalis                        1080      0.2636      0.9996    -12.7627
wm-lh-parstriangularis                     3033      0.3819      0.9970    -18.3578
wm-rh-parstriangularis                     3263      0.3182      0.9955    -16.7907
wm-lh-pericalcarine                        3328      0.1394      0.9985    -17.1963
wm-rh-pericalcarine                        3275      0.1020      0.9932    -15.6672
wm-lh-postcentral                          6637      0.2694      0.9983    -13.9201
wm-rh-postcentral                          6563      0.2143      0.9994    -12.9559
wm-lh-posteriorcingulate                   4000      0.2755      0.9983    -16.1621
wm-rh-posteriorcingulate                   3963      0.2246      0.9924    -16.0932
wm-lh-precentral                          10314      0.3881      0.9998    -16.4573
wm-rh-precentral                          10435      0.3196      0.9988    -15.8627
wm-lh-precuneus                            8700      0.2591      0.9994    -19.1881
wm-rh-precuneus                            7445      0.2379      0.9950    -19.6904
wm-lh-rostralanteriorcingulate             2106      0.2142      0.9978    -14.6499
wm-rh-rostralanteriorcingulate             2063      0.2325      0.9932    -15.5724
wm-lh-rostralmiddlefrontal                10349      0.2837      0.9995    -12.7109
wm-rh-rostralmiddlefrontal                10845      0.2766      0.9996    -13.1192
wm-lh-superiorfrontal                     14703      0.3348      0.9996    -14.7173
wm-rh-superiorfrontal                     14681      0.3371      0.9987    -15.7861
wm-lh-superiorparietal                    10386      0.2723      0.9997    -17.1665
wm-rh-superiorparietal                    11703      0.2079      0.9990    -15.8100
wm-lh-superiortemporal                     5478      0.1364      0.9997     -9.9263
wm-rh-superiortemporal                     5226      0.0737      0.9997    -10.2982
wm-lh-supramarginal                        7796      0.2890      0.9998    -16.4812
wm-rh-supramarginal                        6988      0.2713      0.9948    -17.8760
wm-lh-frontalpole                           237      0.1529      0.9930    -10.2299
wm-rh-frontalpole                           341      0.1391      0.9966     -6.9867
wm-lh-temporalpole                          399     -0.0314      0.9897     -6.3188
wm-rh-temporalpole                          554     -0.0351      0.9989     -8.0542
wm-lh-transversetemporal                    665      0.2021      0.9975     -8.4209
wm-rh-transversetemporal                    469      0.0421      0.9993     -3.6531
wm-lh-insula                               7937      0.2707      0.9999    -13.5461
wm-rh-insula                               7455      0.2375      0.9999    -13.3969
